CID,Atom number,Atom type,CEH-v2,EEQ,EEQ_BC,GFN1-xTB,GFN2-xTB,wB97M-V
4.1A,2,1,0.0240958185065509,0.1498765753689069,0.045673165099851,0.03652355,0.03822648,0.023788
4.1A,3,1,0.0240534211496666,0.1311788845782325,0.0394806111996201,0.0352231,0.03936955,0.027806
4.1A,4,1,0.0240569742093761,0.1345061733161064,0.039930890402525,0.03543771,0.03936681,0.027661
4.1A,5,1,0.0240643724933724,0.1428045481091469,0.0422914500048791,0.03590434,0.03875383,0.026459
4.1A,6,8,-0.0003399678615332,-0.1547086921858011,-0.0219283651810929,-0.00557956,0.00065308,0.003096
4.1A,7,8,0.0003581825407441,-0.1561002388024868,-0.0232105845548438,-0.00563332,-0.00106347,0.003019
4.2A,1,6,-0.0962630417406229,-0.2482761159645169,-0.1238780462423966,-0.1319718,-0.15535335,-0.111581
4.2A,2,1,0.0240823428006194,0.1488814247798886,0.0442518883660944,0.03632463,0.03820982,0.024313
4.2A,3,1,0.0240559830592006,0.131166041106705,0.0388243344448179,0.03524658,0.03932713,0.027802
4.2A,4,1,0.024058105738176,0.1343497661253993,0.0391994422449453,0.03542889,0.03931625,0.027674
4.2A,5,1,0.0240626468281215,0.1422354042203465,0.0412379571344881,0.03584482,0.03874489,0.026639
4.2A,6,8,-0.0003087361604985,-0.1535634703153025,-0.0192339233598987,-0.00539487,0.00066253,0.00264
4.2A,7,8,0.0003127000704519,-0.15479304995252,-0.0204016525880504,-0.00547825,-0.00090727,0.002534
4.3A,1,6,-0.09624604143738,-0.2489500880283958,-0.1253714621981495,-0.13203968,-0.15538703,-0.111399
4.3A,2,1,0.0240739498271178,0.1479569204334505,0.0429584962233914,0.03618917,0.03822043,0.024782
4.3A,3,1,0.0240576639520839,0.1311484431247935,0.0382330604584764,0.03526142,0.03929059,0.027795
4.3A,4,1,0.0240589256351857,0.1341977541835824,0.0385435302190788,0.03542213,0.03927494,0.02768
4.3A,5,1,0.0240616896428536,0.1417003198479561,0.0402920657170181,0.03580016,0.03874507,0.026791
4.3A,6,8,-0.0002815139364982,-0.1524818313510019,-0.0168009283309075,-0.00526718,0.00064392,0.002252
